id,summary
1,ある夜、逃亡中の殺人犯・瀬良不二夫は泣きながらデリヘルを呼ぶ。現れたデリヘル嬢・伊丹洋子は、彼の個人ラジオ「フジオのラジオ」の大ファンで、彼の正体に気付いてしまいーー。WEBラジオによって結びつけられた、笑わせることに飢えたDJとリスナー。二人の歪んだ秘密の逃避行が始まる……。
2,明治24年、日本政府は、北の大地で通称“囚人道路”と呼ばれる国家計画を行った。ある日、ロシアから炭疽菌に覆われた死体が漂着。首相以下上層部数名は、大国の細菌兵器を恐れ、ある極秘計画を密行。その折、ロシア皇太子が日本人警官に襲われる'大津事件'が勃発……網走監獄を舞台に、極秘実験がとんでもないモンスターを生み出す!?
3,5回目の結婚記念日を迎える前日、妻が消えたーー。人口増加で人の主食が昆虫となった大食糧難の時代。'神の国'神モルタの教会には、救いを求めて人々が列を為す。教会の裏側には'洗礼'を受けた者しか立ち入れない'聖域'があった。記者のウォルターは妻を探すため、それに手を伸ばす……。そこで彼が知る世界の真実とはーー。
4,天界の新米役人の陣内くんは神様たちの点呼係。未熟で色衣を着られない。なのに、下界に降りた勝手気ままな幸福の女神・吉祥天様の担当にされてしまい、先輩から神様の取り扱い説明書を渡されたのだがーー。下界を見守る神様たちとそれを裏で支える天界の新米役人の孤軍奮闘コメディ!!
5,相川コウジは小さなベンチャー企業の社長。投資家から見放され、友人たちが順調な人生を歩む中、トラックにハネられる。気がつくとそこには、刀に着物、ちょんまげ姿の武士たちが……。タイムスリップした先は明治時代。ここで彼はある男と出会い「アンパン」を売ることにーー?! 旧時代で未来を切り開く、超異色の起業家ストーリー開幕！
6,1999年片田舎。3人の中学生男女は、誰にも知られることなく発信できる新たなツールを手に入れた。密かに始まるオンラインの青春。ネット時代の新感覚ノスタルジックストーリー！
7,磁辺島に移住してきたタイ語翻訳者・本山田。彼を待っていたのは、都会に憧れる人懐っこい島娘。憧れのロハスな生活から一転、空から降ってきた金属片により、島の大きな“秘密”が徐々に明らかに――!?『片隅乙女ワンスモア』『人魚姫の水族館』の伊藤正臣が紡ぐ、新感覚アイランドストーリー!!
8,海、太陽、戦闘機、この景色が私の故郷なんだよ――沖縄に撮影でやってきた、新米カメラマンの大山もりみちは、師匠の無茶振りで長期取材し、オバァと出会うーー。沖縄地元民たちとの触れ合いから沖縄の今昔を見つける！ 『うきわ』『満月エンドロール』の野村宗弘が贈る渾身作‼︎
9,弁当屋の店員でぽっちゃり女子の原陽子は駅構内で自殺を図る。そこへ陽子のバイト先を訪れていた超ド級理系男子の大池学が通りかかり間一髪救助！ 一目惚れする陽子だが、大池が助けた理由は人命よりも他にあったようで……。第16回文化庁メディア芸術祭マンガ部門審査委員会推薦作品『ナガサレール イエタテール』、『ニコニコ妖画』、『わたしのお婆ちゃん』のニコ・ニコルソンが描く、超理系素粒子級ラブコメ!!
10,ゲーム業界への就職を諦めた女性ゲーマーの城宮区藍（クラン）は、某有名ゲーム雑誌の元編集長に連れられ、ゲーマーの聖地「８４」を訪れる。そこで、'実在する'ゲームクリエイターらと出会い、クリエイターの本質を知っていくーーフィクションとリアルが融合する新感覚ゲーマー物語開幕‼︎
11,サークル活動でサイパンに向かった大学生の羽場涼介たちは、戦争の過酷さを体感できるVR装置を身につけ、仮想現実へとダイブする。本物と見紛う迫力に圧倒される中で、涼介は自分たちを見つめる視線を感じて……。大戦ロマンの旗手が切り拓く、虚構と現実の狭間を描いた新時代仮想戦記、開戦‼︎
12,ロシアがまだソビエトだった頃、ユーリは誰もが見上げる「宇宙」を目指す。時代が求める、英雄となるために……。そして、同じ志を持ったゲルマンとの出会いが、人類の宇宙史を大きく動かしていく！ 「地球は青かった。」ーー人類初の有人宇宙飛行に挑んだ男たちを描くヒューマンドラマ、開演！！
13,引っ越し祝いにケーキを食べようとしていた大学生・女金 駆（めがね かける）の目の前に、突如女性の幽霊が現れる。幽霊事件を担当する探偵・真零源 翔（しんれいげん しょう）へ除霊を依頼するも、どうやら彼はインチキ探偵のようでーー。ボケとツッコミが溢れて止まらない、痛快ギャグ漫画！
14,世界有数のバックギャモンプレイヤー 速水翆は、空港で“賭けギャモン”をする少女 三浦レオと出会う。危険な戦法でプレイするレオに魅せられた速水は、“賭けギャモン”で彼女に挑み……。「バックギャモンは運のゲームではない」ーー魔力を象徴する盤上で描かれるヒューマンゲーム、スタート‼︎
15,"ーキヨ、お前以外に心許せる友達なんか持ったことないのに、大丈夫かよ俺。
夏目漱石が描く名作『坊っちゃん』を、講談社漫画賞受賞作家・逢坂みえこ氏が、現代の大学を舞台に漫画化
お馴染みのキヨを始め、寮生の山嵐や赤シャツ先輩たちが登場し、無鉄砲な主人公・坊っちゃんが織り成す青春群像劇。"
16,植物を巨大化できる肥料”ビックリビッグ”の開発に成功した学生・きな子。この偉大な開発に学校中が喜んだのも束の間、町の動物たちが巨大化していて大騒ぎ！薬は植物しか巨大化できないはずなのに。これはきな子の開発ミス？それとも誰かの陰謀ーー？町を救うべく、きな子が真相に迫る!
17,天才博士を母に持つ男子学生のヨナは、微分積分が理解できず母に”次元”についてのレッスンを受ける。ヨナのために母が発明した”イージー次元イジリ機”が、世界を別次元へと誘ってーー。現役理系学生の芦藻氏が描く、すこしふしぎな短編読み切り作品！！
